B001	A059
B002	A036
B003	A047
B004	A008
B005	A007
B006	A010
B007	A013
B008	A063
B009	A009
B010	A014
B011	A033
B012	A011
B013	A029
B014	A048
B015	A060
B016	A073
B017	A016
B018	A053
B019	A077
B020	A001
B021	A015
B022	A023
B023	A039
B024	A064
B025	A037
B026	A012
B027	A065
B028	A032
B029	A017
B030	A074
B031	A054
B032	A076
B033	A078
B034	A075
B035	A004
B036	A034
B037	A040
B038	A049
B039	A055
B040	A079
B041	A070
B042	A006
B043	A038
B044	A056
B045	A061
B046	A080
B047	A018
B048	A057
B049	A081
B050	A069
B051	A071
B052	A042
B053	A050
B054	A019
B055	A031
B056	A041
B057	A020
B058	A021
B059	A028
B060	A030
B061	A043
B062	A044
B063	A045
B064	A003
B065	A024
B066	A051
B067	A058
B068	A072
B069	A082
B070	A022
B071	A062
B072	A025
B073	A026
B074	A052
B075	A046
B076	A005
B077	A027
B078	A035
D001	A204
D002	A205
D003	A203
D004	A209
D005	A210
D006	A201
D007	A211
D008	A206
D009	A202
D010	A207
D011	A208
